,Напряжение бортовой сети,Количество топлива,Напряжение аккумуляторной батареи,Оценка риска,Источник риска
740,12.357478,44.793315,12.2,0.18619403886821034,Неустойчивое напряжение бортовой сети
750,12.337065,44.74247,12.2,0.1867349995646731,Неустойчивое напряжение бортовой сети
760,12.329681,44.692896,12.2,0.18712012434948128,Неустойчивое напряжение бортовой сети
770,12.307183,44.647179,12.2,0.18740725562437976,Неустойчивое напряжение бортовой сети
780,12.322582,44.603132,12.2,0.18768051161712435,Неустойчивое напряжение бортовой сети
790,12.198444,44.569092,12.2,0.18794261427639825,Неустойчивое напряжение бортовой сети
800,12.198393,44.555442,12.2,0.20368456819739292,Неустойчивое напряжение бортовой сети
810,12.198342,44.543857,12.2,0.20953352049666257,Неустойчивое напряжение бортовой сети
820,12.19829,44.531841,12.2,0.21173569332431263,Неустойчивое напряжение бортовой сети
830,12.296891,44.502371,12.2,0.21259812255259225,Неустойчивое напряжение бортовой сети
840,12.303529,44.464621,12.2,0.21302007214622654,Неустойчивое напряжение бортовой сети
850,12.339201,44.41986,12.2,0.21320545621248238,Неустойчивое напряжение бортовой сети
860,12.41404,44.365372,12.2,0.21343416394044423,Неустойчивое напряжение бортовой сети
870,12.415107,44.306777,12.2,0.21371411039752683,Неустойчивое напряжение бортовой сети
880,12.382261,44.248806,12.2,0.21402803527572367,Неустойчивое напряжение бортовой сети
890,12.345703,44.194843,12.2,0.2143521528176267,Неустойчивое напряжение бортовой сети
900,12.339045,44.142633,12.2,0.21466569843599562,Неустойчивое напряжение бортовой сети
910,12.33046,44.099365,12.2,0.19503720457630458,Неустойчивое напряжение бортовой сети
920,12.19819,44.074048,12.2,0.18660762281117882,Неустойчивое напряжение бортовой сети
930,12.198142,44.057674,12.2,0.20491311882103488,Неустойчивое напряжение бортовой сети
940,12.377274,44.020518,12.2,0.21171495105435018,Неустойчивое напряжение бортовой сети
950,12.337824,43.971888,12.2,0.2143509798374448,Неустойчивое напряжение бортовой сети
960,12.271967,43.91724,12.2,0.21563086237779214,Неустойчивое напряжение бортовой сети
970,12.292678,43.858755,12.2,0.2163090996358065,Неустойчивое напряжение бортовой сети
980,12.3324,43.799368,12.2,0.21662813811690282,Неустойчивое напряжение бортовой сети
990,12.354609,43.739687,12.2,0.21696242253220516,Неустойчивое напряжение бортовой сети
1000,12.338887,43.68345,12.2,0.21730342920853613,Неустойчивое напряжение бортовой сети
1010,12.307659,43.632103,12.2,0.21763436805598513,Неустойчивое напряжение бортовой сети
1020,12.281024,43.57828,12.2,0.20315276347329222,Неустойчивое напряжение бортовой сети
1030,12.291439,43.527031,12.2,0.1980284158851537,Неустойчивое напряжение бортовой сети
1040,12.329331,43.482897,12.2,0.1963369010813149,Неустойчивое напряжение бортовой сети
1050,12.359861,43.441836,12.2,0.1940394560027504,Неустойчивое напряжение бортовой сети
1060,12.381332,43.399766,12.2,0.19335033427765397,Неустойчивое напряжение бортовой сети
1070,12.345508,43.353538,12.2,0.1933567757998284,Неустойчивое напряжение бортовой сети
1080,12.311695,43.305499,12.2,0.19353561328196667,Неустойчивое напряжение бортовой сети
1090,12.310983,43.252618,12.2,0.19378527956887598,Неустойчивое напряжение бортовой сети
1100,12.344026,43.19102,12.2,0.1940925860233346,Неустойчивое напряжение бортовой сети
1110,12.352534,43.134807,12.2,0.19232129914590435,Неустойчивое напряжение бортовой сети
1120,12.358844,43.078107,12.2,0.18788297874725962,Неустойчивое напряжение бортовой сети
1130,12.329245,43.022042,12.2,0.186472437499604,Неустойчивое напряжение бортовой сети
1140,12.29095,42.966276,12.2,0.1861736582856075,Неустойчивое напряжение бортовой сети
1150,12.279166,42.912691,12.2,0.19038148643012348,Неустойчивое напряжение бортовой сети
